,time,latitude,longitude,altitude
0,2022-08-17 06:22:58+00:00,44.507128,3.66237,952.445468
1,2022-08-17 06:22:58+00:00,44.507128,3.66237,952.445468
2,2022-08-17 06:22:59+00:00,44.507045,3.662413,952.445468
3,2022-08-17 06:23:04+00:00,44.507115,3.662278,952.445468
4,2022-08-17 06:23:10+00:00,44.507053,3.662172,952.445468
5,2022-08-17 06:23:17+00:00,44.507127,3.66225,952.445468
6,2022-08-17 06:23:31+00:00,44.507222,3.662405,952.445468
7,2022-08-17 06:23:32+00:00,44.507222,3.662405,952.445468
8,2022-08-17 06:23:37+00:00,44.507223,3.662405,952.445468
9,2022-08-17 06:23:38+00:00,44.507223,3.662405,952.445468
10,2022-08-17 06:23:47+00:00,44.507225,3.662408,952.445468
11,2022-08-17 06:23:50+00:00,44.507237,3.662422,952.445468
12,2022-08-17 06:23:51+00:00,44.507238,3.662423,952.445468
13,2022-08-17 06:23:52+00:00,44.507238,3.662425,952.445468
14,2022-08-17 06:23:53+00:00,44.507232,3.662427,952.445468
15,2022-08-17 06:23:56+00:00,44.507235,3.66243,952.445468
16,2022-08-17 06:23:57+00:00,44.507238,3.662438,952.445468
17,2022-08-17 06:24:03+00:00,44.507147,3.662453,952.445468
18,2022-08-17 06:24:08+00:00,44.507063,3.66257,952.445468
19,2022-08-17 06:24:11+00:00,44.507015,3.662678,952.445468
20,2022-08-17 06:24:15+00:00,44.506958,3.662823,952.922642
21,2022-08-17 06:24:18+00:00,44.506913,3.662945,953.382492
22,2022-08-17 06:24:21+00:00,44.506863,3.66308,953.891786
23,2022-08-17 06:24:24+00:00,44.506817,3.663215,954.392702
24,2022-08-17 06:24:27+00:00,44.506777,3.663342,954.857516
25,2022-08-17 06:24:30+00:00,44.506727,3.663463,955.325713
26,2022-08-17 06:24:33+00:00,44.50668,3.663588,955.798814
27,2022-08-17 06:24:36+00:00,44.506637,3.663722,956.290768
28,2022-08-17 06:24:39+00:00,44.506592,3.663852,956.774568
29,2022-08-17 06:24:42+00:00,44.50656,3.663977,957.219213
30,2022-08-17 06:24:45+00:00,44.506522,3.664095,957.652687
31,2022-08-17 06:24:49+00:00,44.50647,3.664245,958.211075
32,2022-08-17 06:24:52+00:00,44.50643,3.664373,958.678956
33,2022-08-17 06:24:55+00:00,44.506388,3.664498,959.141578
34,2022-08-17 06:24:59+00:00,44.506325,3.664637,959.69298
35,2022-08-17 06:25:03+00:00,44.506262,3.664747,960.165317
36,2022-08-17 06:25:07+00:00,44.506172,3.664852,960.714948
37,2022-08-17 06:25:10+00:00,44.5061,3.664935,961.070585
38,2022-08-17 06:25:13+00:00,44.506025,3.66502,961.382406
39,2022-08-17 06:25:16+00:00,44.505955,3.665107,961.684865
40,2022-08-17 06:25:19+00:00,44.505882,3.665205,962.011651
41,2022-08-17 06:25:22+00:00,44.50581,3.665298,962.328186
42,2022-08-17 06:25:25+00:00,44.505737,3.665393,962.650227
